#,Punktsymbolname,Liste der 'alten' Punktsymbole,Nr.,Offset(15*15),Offset (23*23),Offset (32*32),Index in Bitmap
1,Allgemeine Symbole,,,,,,
,Höhenbolzen,177,170,"0,0","1,1","0,0",183
2,,Denkmale,,,,,
,Denkmal,19,171,"2,2","1,1","2,0",75
,Steinkreuz,,172,"4,2","5,1","6,1",76
1,Altlasten,,,,,,
,Abgrabung,33,173,2.2,"4,3",3.3,112
,Verfüllung,"166,165",174,"2,2","4,3","3,3",113
,Aufschüttung,"14,151,150,139",175,"0,0","1,0","0,0",114
,Verfüllung und Aufschüttung,"164,163",176,"0,0","1,0","0,0",115
,"Bergbau, aktiv","96,152",177,"1,1","0,0","0,0",116
,"Bergbau, inaktiv","97,153",178,"1,1","0,0","0,0",117
,Altstandort des prod. und verarb. Gewerbes,"156,157",179,"4,0","6,0","9,0",118
,Landwirtschaftlicher Altstandort,"140,159,160",180,"2,0","3,0","4,0",119
,Militärischer Altstandort,"162,161",181,"1,3","0,4","0,5",120
,Verkehrsaltstandort,"168,167",182,"1,3","0,3","0,4",121
,Altstandort/Versorgungsanlage,"170,169",183,"2,2","1,1","0,0",122
,Blindgänger,"154,158",184,"2,2","1,1","2,2",123
,Bombentrichter,155,185,"1,1","0,0","0,0",124
,Altablagerung,,186,"0,0","0,0","1,1",202
1,Forstwesen,,,,,,
,Diensthütte,,187,"2,1","1,0","1,0",125
,Forstdienststelle,,188,"2,2","1,1","1,1",126
,Löschwasserentnahmestelle,,189,"2,2","1,1","0,0",127
,Überhalt,,190,"3,1","4,0","6,0",188
,Überhalt/Douglasie,,191,"3,1","4,0","6,0",128
,Nachwuchs,,192,"2,1","0,0","0,0",189
,Nachwuchs/Douglasie,,193,"2,1","0,0","0,0",191
,Unterstand,,194,"2,1","0,1","0,1",190
,Unterstand/Douglasie,,195,"2,1","0,1","0,1",192
,Holzboden/Mischbaumart,,196,"2,2","1,1","0,0",193
,Holzboden/Mischbaumart:Douglasie,,197,"2,2","1,1","0,0",194
,Eigentumsgrenze Graben,,198,"1,11","1,8","1,5",195
,angrenzender Nadelwald,,199,"4,1","3,0","2,0",196
,angrenzender Laubwald,,200,"4,3","2,3","3,3",197
,Hügelgrab,,201,"0,0","0,0","0,0",198
,Feuerlöschbrunnen,,202,"0,0","1,1","0,0",199
,Denkmal,,203,"0,0","1,0","0,0",200
,bedeutender Einzelbaum,,204,"0,0","0,0","0,0",201
